Date,wiki_Artificial_intelligence,wiki_ChatGPT,wiki_Large_language_model,wiki_OpenAI,wiki_Machine_learning
2015-07-31,152035.0,,,,78986.0
2015-08-31,151044.0,,,,78859.0
2015-09-30,182432.0,,,,85874.0
2015-10-31,151277.0,,,,93925.0
2015-11-30,153912.0,,,,96733.0
2015-12-31,145378.0,,,33598.0,89018.0
2016-01-31,152349.0,,,25781.0,100609.0
2016-02-29,148011.0,,,21005.0,101296.0
2016-03-31,180046.0,,,16974.0,122960.0
2016-04-30,166622.0,,,36228.0,112438.0
2016-05-31,181407.0,,,27579.0,120117.0
2016-06-30,154368.0,,,29599.0,116420.0
2016-07-31,140444.0,,,20931.0,107527.0
2016-08-31,142421.0,,,21732.0,112454.0
2016-09-30,193429.0,,,33179.0,161087.0
2016-10-31,298909.0,,,29974.0,240630.0
2016-11-30,189825.0,,,32172.0,128380.0
2016-12-31,183731.0,,,29793.0,118295.0
2017-01-31,207375.0,,,29999.0,143490.0
2017-02-28,194999.0,,,28958.0,132588.0
2017-03-31,230342.0,,,31355.0,151539.0
2017-04-30,202631.0,,,30235.0,139627.0
2017-05-31,233587.0,,,29304.0,165978.0
2017-06-30,196498.0,,,24806.0,147874.0
2017-07-31,209442.0,,,28958.0,144495.0
2017-08-31,251800.0,,,47993.0,158070.0
2017-09-30,286874.0,,,30796.0,157026.0
2017-10-31,288520.0,,,31358.0,171559.0
2017-11-30,315473.0,,,33488.0,193644.0
2017-12-31,269545.0,,,30880.0,207545.0
2018-01-31,295342.0,,,31525.0,188272.0
2018-02-28,264070.0,,,63897.0,172705.0
2018-03-31,304819.0,,,18259.0,190993.0
2018-04-30,286565.0,,,14990.0,177531.0
2018-05-31,309855.0,,,12417.0,185993.0
2018-06-30,267032.0,,,13162.0,162350.0
2018-07-31,277678.0,,,13708.0,169828.0
2018-08-31,274811.0,,,21795.0,171059.0
2018-09-30,286376.0,,,19352.0,511690.0
2018-10-31,312838.0,,,20913.0,565555.0
2018-11-30,311721.0,,,20917.0,155766.0
2018-12-31,271790.0,,,20858.0,153689.0
2019-01-31,281671.0,,,20145.0,165081.0
2019-02-28,269847.0,,,24036.0,154238.0
2019-03-31,291528.0,,,27713.0,168018.0
2019-04-30,334138.0,,,31405.0,157776.0
2019-05-31,279083.0,,,25969.0,155168.0
2019-06-30,257127.0,,,21995.0,153521.0
2019-07-31,272012.0,,,42259.0,247986.0
2019-08-31,248309.0,,,25264.0,136780.0
2019-09-30,287954.0,,,25911.0,136278.0
2019-10-31,294123.0,,,27312.0,145385.0
2019-11-30,290238.0,,,30070.0,136633.0
2019-12-31,239396.0,,,27079.0,128437.0
2020-01-31,276137.0,,,27692.0,132209.0
2020-02-29,277123.0,,,27898.0,131435.0
2020-03-31,233114.0,,,21420.0,122074.0
